SITE CODE= 9D2è„ìVëêésëÂñÓñÏí¨          ,32.8632,130.8990, 10,5.9,42476.0735532,  9.43, 16.03
 LAT.=   32.5874
 LON.=  130.4304
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2016 04 16 01 45 50
 NS,EW,UD
-0.164,-0.093,0.148
-0.158,-0.087,0.118
-0.129,-0.086,0.059
-0.105,-0.106,-0.004
-0.110,-0.150,-0.050
-0.139,-0.205,-0.066
-0.166,-0.250,-0.073
-0.165,-0.271,-0.080
-0.125,-0.260,-0.077
-0.055,-0.217,-0.040
0.026,-0.151,0.021
0.098,-0.080,0.073
0.144,-0.020,0.081
0.160,0.025,0.054
0.149,0.064,0.027
0.123,0.102,0.020
0.095,0.133,0.018
0.072,0.141,-0.004
0.054,0.122,-0.043
0.037,0.083,-0.066
0.015,0.044,-0.040
-0.006,0.025,0.031
-0.018,0.037,0.111
-0.009,0.077,0.146
0.017,0.132,0.109
0.049,0.177,0.022
0.067,0.189,-0.049
0.061,0.164,-0.057
0.037,0.113,-0.025
0.014,0.059,-0.032
0.003,0.016,-0.119
0.004,-0.013,-0.215
0.010,-0.031,-0.189
0.023,-0.034,0.007
0.048,-0.019,0.258
0.083,0.011,0.375
0.111,0.044,0.276
0.109,0.061,0.062
0.074,0.041,-0.093
0.021,-0.025,-0.116
-0.024,-0.139,-0.071
-0.045,-0.273,-0.057
-0.045,-0.380,-0.095
-0.037,-0.416,-0.117
-0.029,-0.366,-0.072
-0.017,-0.259,0.017
0.007,-0.150,0.077
0.042,-0.086,0.057
0.070,-0.085,-0.020
0.066,-0.123,-0.089
0.022,-0.159,-0.088
-0.042,-0.163,-0.011
-0.089,-0.135,0.085
-0.090,-0.090,0.120
-0.051,-0.046,0.049
-0.002,-0.008,-0.083
0.025,0.030,-0.166
0.029,0.072,-0.116
0.029,0.105,0.036
0.045,0.112,0.163
0.078,0.093,0.159
0.110,0.070,0.039
0.121,0.073,-0.076
0.096,0.109,-0.092
0.040,0.153,-0.020
-0.030,0.164,0.051
-0.086,0.133,0.065
-0.103,0.085,0.035
-0.082,0.057,0.004
-0.044,0.059,-0.011
-0.020,0.071,-0.024
-0.022,0.068,-0.029
-0.041,0.043,-0.002
-0.057,0.009,0.058
-0.061,-0.021,0.104
-0.055,-0.050,0.085
-0.042,-0.080,0.011
-0.020,-0.103,-0.046
0.005,-0.105,-0.035
0.013,-0.078,0.012
-0.007,-0.028,0.014
-0.049,0.033,-0.063
-0.077,0.092,-0.154
