SITE CODE= EEDìÏà¢ëhë∫íÜèº              ,33.0265,131.1910, 10,5.8,42476.1638079,  3.93,  6.67
 LAT.=   32.8803
 LON.=  131.0736
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2016 04 16 03 54 40
 NS,EW,UD
0.015,0.027,0.066
-0.005,0.018,0.070
-0.046,-0.014,0.035
-0.092,-0.048,-0.023
-0.115,-0.048,-0.066
-0.087,-0.006,-0.052
-0.007,0.052,0.019
0.094,0.078,0.102
0.163,0.046,0.127
0.163,-0.023,0.055
0.097,-0.090,-0.084
0.008,-0.121,-0.208
-0.059,-0.120,-0.235
-0.093,-0.105,-0.139
-0.111,-0.085,0.026
-0.134,-0.052,0.173
-0.155,0.008,0.223
-0.141,0.099,0.162
-0.061,0.204,0.037
0.084,0.293,-0.075
0.248,0.328,-0.129
0.368,0.283,-0.121
0.392,0.162,-0.085
0.305,0.000,-0.046
0.136,-0.157,-0.008
-0.064,-0.264,0.037
-0.254,-0.309,0.082
-0.398,-0.296,0.104
-0.470,-0.239,0.085
-0.438,-0.156,0.033
-0.284,-0.062,-0.018
-0.036,0.032,-0.043
0.219,0.128,-0.039
0.384,0.223,-0.018
0.398,0.306,0.012
0.289,0.346,0.053
0.131,0.314,0.095
-0.010,0.200,0.106
-0.119,0.025,0.055
-0.200,-0.162,-0.056
-0.244,-0.313,-0.176
-0.216,-0.388,-0.230
-0.100,-0.377,-0.182
0.064,-0.289,-0.060
0.196,-0.147,0.066
0.225,0.029,0.138
0.148,0.212,0.151
0.025,0.352,0.141
-0.071,0.389,0.139
-0.105,0.293,0.135
-0.093,0.102,0.082
-0.069,-0.088,-0.043
-0.051,-0.207,-0.198
-0.029,-0.239,-0.288
0.009,-0.218,-0.243
0.057,-0.157,-0.084
0.077,-0.042,0.089
0.042,0.118,0.182
-0.031,0.252,0.179
-0.082,0.270,0.134
-0.053,0.147,0.091
0.054,-0.036,0.037
0.174,-0.170,-0.062
0.229,-0.209,-0.188
0.186,-0.192,-0.256
0.075,-0.170,-0.189
-0.054,-0.133,-0.015
-0.176,-0.036,0.156
-0.280,0.119,0.227
-0.345,0.250,0.188
-0.329,0.254,0.106
-0.205,0.109,0.029
-0.001,-0.091,-0.046
0.208,-0.214,-0.141
0.350,-0.189,-0.220
0.392,-0.053,-0.212
0.343,0.096,-0.084
0.223,0.186,0.097
0.054,0.195,0.216
-0.122,0.145,0.206
-0.245,0.055,0.099
-0.268,-0.057,-0.018
-0.206,-0.164,-0.091
-0.117,-0.217,-0.112
-0.050,-0.184,-0.099
0.000,-0.078,-0.055
0.060,0.045,0.020
0.126,0.139,0.102
0.152,0.189,0.148
0.105,0.207,0.134
0.007,0.193,0.077
-0.073,0.119,0.016
-0.093,-0.031,-0.034
-0.070,-0.221,-0.084
-0.040,-0.358,-0.141
-0.016,-0.359,-0.182
0.019,-0.212,-0.164
0.072,0.009,-0.071
0.111,0.203,0.063
0.098,0.295,0.175
0.034,0.282,0.206
-0.039,0.202,0.144
-0.074,0.100,0.020
-0.061,0.004,-0.106
-0.024,-0.077,-0.180
0.002,-0.137,-0.173
0.004,-0.160,-0.100
-0.016,-0.140,-0.002
-0.046,-0.087,0.078
-0.069,-0.028,0.121
-0.071,0.014,0.124
-0.047,0.036,0.098
0.000,0.043,0.058
0.061,0.041,0.015
0.117,0.031,-0.021
0.146,0.016,-0.050
0.126,0.005,-0.071
0.046,0.008,-0.079
-0.068,0.023,-0.066
-0.163,0.037,-0.029
-0.185,0.034,0.018
-0.121,0.013,0.050
-0.014,-0.018,0.050
0.067,-0.053,0.021
0.092,-0.080,-0.008
0.078,-0.090,-0.018
0.070,-0.071,-0.006
0.076,-0.023,0.011
0.068,0.036,0.018
0.009,0.086,0.008
-0.084,0.112,-0.008
-0.155,0.120,-0.018
-0.145,0.122,-0.015
-0.052,0.120,0.002
0.069,0.100,0.029
0.155,0.051,0.053
0.171,-0.021,0.059
0.124,-0.094,0.037
0.041,-0.137,-0.012
-0.051,-0.147,-0.070
-0.133,-0.139,-0.103
-0.185,-0.135,-0.089
-0.187,-0.135,-0.030
-0.128,-0.118,0.046
-0.013,-0.073,0.100
0.123,-0.008,0.105
