SITE CODE= EA0ïƒéqésîéòJí¨ÅiãåÅj        ,35.2733,133.3483,  9,7.3,36805.5627072,  3.62,  6.15
 LAT.=    0.0000
 LON.=    0.0000
 SAMPLING RATE= 100Hz 
 UNIT  = gal(cm/s/s) 
INITIAL TIME = 2000 10 06 13 30 10
 NS,EW,UD
0.021,0.043,-0.002
0.019,0.037,-0.005
0.000,-0.011,0.014
-0.012,-0.038,0.026
-0.007,-0.023,0.000
0.001,0.010,-0.022
0.009,0.009,-0.021
-0.008,-0.018,-0.013
-0.014,-0.011,-0.010
0.010,0.023,-0.014
0.030,0.038,-0.013
0.038,0.032,-0.003
0.021,0.021,0.006
-0.011,0.001,0.010
-0.017,0.006,0.014
0.004,0.011,0.009
0.002,-0.010,0.007
-0.018,-0.026,0.006
-0.006,-0.032,0.006
0.024,-0.022,0.011
0.041,-0.002,0.005
0.027,0.010,0.004
0.000,0.013,0.003
-0.021,0.015,-0.002
-0.024,0.014,-0.013
0.038,-0.019,0.009
0.039,-0.032,0.039
-0.090,0.009,0.000
-0.090,0.028,-0.033
0.054,-0.004,0.001
0.053,-0.013,0.025
-0.035,0.026,-0.017
-0.031,0.027,-0.046
0.016,-0.021,-0.001
0.029,-0.021,0.032
-0.006,0.018,0.009
-0.018,0.036,-0.003
0.016,0.009,0.004
0.042,-0.017,0.001
0.043,0.001,-0.007
0.012,-0.005,-0.002
-0.021,-0.029,0.011
-0.036,-0.018,0.014
-0.054,0.001,0.016
-0.041,0.015,0.007
0.012,0.009,-0.004
0.031,0.003,-0.013
0.011,0.021,-0.018
0.006,0.021,-0.007
0.008,0.000,0.011
-0.002,0.005,0.019
0.002,0.024,0.004
0.004,0.031,-0.011
-0.019,0.032,-0.017
0.001,-0.005,-0.002
0.059,-0.046,0.028
0.028,-0.015,0.011
-0.038,0.018,-0.008
-0.030,-0.009,0.009
-0.003,-0.023,0.002
-0.007,0.027,-0.019
-0.004,0.047,-0.018
0.016,-0.016,0.006
0.024,-0.041,0.012
0.025,-0.007,-0.003
0.017,0.012,0.006
-0.018,0.023,0.004
-0.042,0.019,-0.007
-0.025,-0.003,0.005
-0.012,-0.003,0.005
-0.015,0.009,0.011
0.000,-0.002,0.021
0.021,-0.027,0.011
0.011,-0.021,-0.007
0.002,0.004,-0.026
0.002,0.011,-0.014
-0.007,0.007,0.007
-0.001,0.001,0.010
0.023,0.007,0.005
0.043,0.016,-0.007
0.012,0.000,-0.022
-0.025,-0.030,-0.024
0.019,-0.048,0.007
-0.020,-0.029,0.039
-0.129,0.027,0.018
-0.036,0.035,-0.008
0.102,-0.006,0.015
0.055,0.005,0.024
-0.023,0.040,-0.024
-0.022,0.018,-0.043
-0.001,-0.021,0.002
0.002,-0.023,0.021
-0.026,0.000,0.006
-0.038,0.018,-0.004
-0.008,0.027,-0.009
0.026,0.022,-0.003
0.044,0.009,0.007
0.041,-0.017,0.014
0.012,-0.033,0.019
-0.023,-0.001,0.007
-0.031,0.032,-0.007
-0.020,0.026,-0.012
0.003,0.008,-0.018
0.027,0.000,-0.025
0.009,0.000,-0.009
-0.001,-0.019,0.012
0.015,-0.040,0.020
0.002,-0.017,0.029
-0.023,0.032,0.006
-0.035,0.053,-0.018
-0.032,0.016,-0.005
-0.008,-0.036,0.014
0.015,-0.042,0.016
0.030,-0.011,-0.005
0.029,0.007,-0.002
0.020,0.003,0.010
0.017,0.015,-0.018
0.002,0.035,-0.024
-0.016,0.026,0.005
-0.020,0.001,0.025
-0.017,-0.009,0.021
-0.011,-0.008,0.005
0.004,-0.013,-0.004
0.017,-0.010,-0.004
0.020,0.007,-0.016
0.029,0.024,-0.022
0.020,0.021,-0.002
-0.021,0.004,0.012
-0.032,0.010,0.004
-0.017,0.029,-0.004
-0.007,0.012,-0.004
-0.001,-0.011,0.011
-0.001,-0.010,0.023
0.000,-0.002,0.010
0.001,0.011,-0.003
0.016,0.009,-0.029
-0.009,-0.006,-0.041
-0.030,-0.021,-0.014
0.071,-0.044,0.028
0.064,-0.021,0.048
-0.098,0.039,-0.010
-0.042,0.013,-0.036
0.104,-0.038,0.042
-0.001,0.014,0.053
-0.095,0.063,-0.037
0.005,0.003,-0.049
0.062,-0.050,0.030
-0.006,-0.015,0.051
-0.046,0.025,-0.005
0.012,0.015,-0.045
0.030,0.020,-0.036
-0.014,0.038,-0.004
-0.010,0.016,0.016
-0.009,0.006,0.005
-0.033,0.001,0.009
-0.032,-0.013,0.018
0.000,-0.001,0.001
0.030,-0.006,0.004
0.034,-0.012,-0.003
0.016,0.012,-0.018
-0.007,0.015,0.001
-0.011,-0.001,0.016
0.008,-0.018,0.018
0.012,-0.027,0.019
-0.010,-0.018,0.018
-0.003,-0.008,0.004
0.045,-0.004,-0.014
0.046,-0.010,-0.005
-0.001,-0.004,-0.004
-0.018,0.024,-0.025
-0.023,0.020,-0.013
-0.028,-0.021,0.016
-0.010,-0.027,0.007
0.011,0.009,-0.009
0.026,0.021,-0.017
0.029,0.010,-0.021
0.014,0.006,-0.005
-0.003,0.010,0.000
-0.015,0.015,0.002
-0.030,0.016,0.015
-0.024,0.016,0.008
0.010,0.007,0.005
0.017,-0.008,-0.002
0.011,0.006,-0.008
0.005,0.020,0.014
-0.016,0.014,0.028
-0.006,-0.001,0.016
0.008,-0.015,0.010
0.008,0.000,0.006
0.036,0.006,-0.005
0.034,-0.006,-0.007
0.009,-0.011,-0.014
-0.017,-0.015,-0.014
-0.065,-0.012,0.004
-0.015,-0.012,0.029
0.018,0.005,0.050
-0.075,0.048,-0.005
-0.028,0.033,-0.057
0.123,-0.033,-0.005
0.099,-0.034,0.031
-0.045,0.012,-0.020
-0.071,0.016,-0.059
0.004,0.001,-0.008
-0.007,0.020,0.034
-0.059,0.039,0.011
-0.020,0.011,-0.007
0.027,-0.014,0.000
0.018,-0.013,0.000
0.014,-0.006,-0.009
0.002,0.007,-0.007
-0.014,0.011,0.012
-0.004,0.007,0.021
-0.002,-0.002,0.013
0.002,-0.013,0.012
0.021,-0.009,0.002
0.024,0.010,-0.009
0.016,0.012,0.001
0.008,0.001,0.003
0.005,0.002,0.000
0.011,-0.017,0.005
0.009,-0.039,0.003
-0.006,-0.008,-0.005
-0.016,0.035,-0.013
-0.015,0.023,0.003
0.000,-0.008,0.019
0.013,0.006,-0.004
-0.001,0.005,-0.016
-0.014,-0.034,0.000
-0.012,-0.030,0.007
-0.007,0.001,0.011
0.006,0.016,0.004
0.018,0.021,-0.012
0.004,0.009,-0.011
0.005,-0.011,-0.007
0.026,-0.022,0.005
-0.004,0.007,0.017
-0.036,0.043,0.000
-0.020,0.011,0.003
-0.004,-0.038,0.018
-0.002,-0.042,0.016
0.009,0.000,0.002
0.023,0.043,-0.013
0.020,0.028,-0.004
0.012,-0.001,0.003
0.000,-0.015,0.008
-0.002,-0.020,-0.005
0.005,0.004,-0.032
-0.019,0.021,-0.018
-0.019,0.016,0.000
-0.042,-0.001,0.000
-0.054,-0.010,0.001
0.073,-0.008,0.013
0.082,0.005,0.011
-0.055,0.029,-0.054
-0.007,0.003,-0.054
0.093,-0.035,0.064
0.000,0.009,0.084
-0.106,0.048,-0.016
-0.041,0.007,-0.046
0.056,-0.031,0.005
0.010,-0.012,0.047
-0.054,-0.004,0.029
-0.013,-0.026,-0.012
0.036,-0.019,-0.013
0.024,0.011,0.001
0.011,0.037,-0.005
0.016,0.030,-0.017
0.010,-0.013,-0.012
-0.008,-0.033,0.002
-0.035,-0.010,0.012
-0.037,0.002,0.021
0.000,-0.008,0.009
0.028,0.000,-0.014
0.025,0.012,-0.027
-0.004,0.014,-0.015
-0.009,0.019,-0.004
0.010,0.001,-0.005
0.008,-0.031,0.014
-0.003,-0.016,0.011
-0.014,0.021,-0.010
-0.001,0.010,0.000
0.023,-0.016,0.012
0.026,-0.001,0.006
0.013,0.021,-0.004
-0.011,0.020,-0.009
-0.015,0.007,-0.003
-0.005,-0.007,0.007
0.002,-0.011,0.004
-0.002,0.000,0.000
-0.007,0.015,0.007
0.010,0.017,0.002
0.009,0.009,-0.007
-0.014,0.006,0.007
-0.012,-0.020,0.024
0.014,-0.046,0.018
0.018,-0.014,0.005
0.004,0.026,-0.003
0.010,0.026,-0.007
0.007,0.010,-0.009
-0.013,-0.004,-0.012
-0.021,0.005,-0.009
-0.032,0.013,-0.007
-0.026,-0.014,0.006
0.005,-0.029,0.018
0.004,0.000,-0.007
-0.004,0.035,-0.021
0.028,0.044,-0.009
0.013,0.023,0.006
-0.042,0.002,0.006
-0.015,-0.014,-0.008
0.028,-0.032,0.015
-0.014,-0.028,0.018
-0.026,0.004,-0.027
0.046,0.011,-0.018
0.057,0.004,0.025
-0.030,0.006,0.017
-0.049,-0.013,-0.006
0.018,-0.014,0.010
0.012,0.012,0.025
-0.030,0.005,0.010
-0.006,0.000,-0.025
0.038,0.012,-0.040
0.045,0.010,0.001
0.000,0.009,0.029
-0.043,0.009,0.012
-0.019,0.003,-0.012
0.017,0.001,-0.013
-0.004,0.001,-0.002
-0.032,-0.001,0.003
-0.017,-0.005,0.003
0.032,-0.003,-0.009
0.055,0.004,-0.015
0.034,-0.004,0.004
0.009,-0.014,0.027
-0.007,-0.004,0.025
-0.004,0.000,0.003
0.007,-0.001,-0.001
0.009,0.021,0.004
-0.007,0.024,-0.002
-0.026,0.005,0.004
-0.008,0.001,0.001
0.019,-0.012,-0.012
0.013,-0.012,-0.005
-0.007,-0.006,0.005
-0.019,-0.022,0.012
-0.006,-0.018,0.005
0.010,0.000,-0.014
0.005,0.010,-0.011
-0.003,0.006,0.001
-0.011,-0.007,0.001
-0.021,-0.004,-0.005
-0.014,0.006,-0.007
0.013,0.009,-0.007
0.021,0.014,-0.002
-0.004,0.017,0.009
-0.015,0.010,0.011
-0.002,-0.011,0.014
0.014,-0.017,0.001
0.011,0.007,-0.007
-0.016,0.028,0.002
-0.011,0.027,-0.004
0.004,0.007,0.001
0.009,-0.009,0.008
0.009,0.003,0.000
-0.005,0.009,0.003
-0.021,-0.001,0.000
0.010,-0.007,0.007
0.050,-0.013,0.036
-0.036,0.005,0.019
-0.072,0.013,-0.037
0.062,-0.021,-0.032
0.075,-0.015,0.023
-0.050,0.007,0.023
-0.057,0.002,-0.027
0.030,0.023,-0.023
0.026,0.020,0.028
-0.030,-0.010,0.030
-0.002,-0.011,-0.007
0.036,-0.007,-0.018
0.022,0.006,-0.005
-0.004,0.022,0.013
-0.030,0.018,0.013
-0.025,0.017,-0.008
0.024,0.004,-0.009
0.039,-0.009,0.005
0.004,-0.002,-0.002
-0.001,-0.009,-0.019
0.019,-0.011,-0.009
0.007,-0.011,0.003
-0.019,-0.025,0.001
-0.013,-0.019,0.009
0.002,-0.007,0.004
-0.008,0.004,-0.002
-0.005,0.023,0.005
0.016,0.030,-0.001
0.009,0.026,0.000
-0.009,0.006,0.000
-0.007,-0.018,0.000
-0.007,-0.030,0.009
